home_team,away_team,spread
Rutgers,Massachusetts,-28.5
Wake Forest,Akron,-24.5
Kennesaw State,West Georgia,-23.5
Buffalo,UAlbany,-24.5
Delaware,Merrimack,-28.5
UCF,Bethune-Cookman,-42.5
Georgia Tech,Colorado,-6.5
Missouri,Arkansas-Pine Bluff,-54.5
Minnesota,Eastern Illinois,-42.5
Utah,Idaho,-34.5
Illinois,UAB,-27.5
Eastern Michigan,San José State,-3.0
Georgia State,North Carolina A&T,-28.5
Purdue,Indiana State,-35.5
Michigan State,Toledo,-9.5
Oklahoma,UTEP,-41.5
Kansas,LIU,-40.5
Stanford,Miami,24.5
USC,Fresno State,-22.5
Alabama,East Carolina,-27.5
Houston,Oregon State,-20.5
Nebraska,Ohio,-23.5
West Virginia,Coastal Carolina,-20.5
James Madison,Liberty,-6.5
Indiana,North Texas,-40.5
UConn,Lafayette,-19.5
Bowling Green,Tarleton State,-2.5
Syracuse,New Hampshire,-33.5
Army,Bryant,-36.5
Ohio State,Ball State,-50.5
Pittsburgh,Miami (OH),-16.5
South Carolina,Kent State,-35.5
Kentucky,Youngstown State,-23.5
Iowa State,Southeast Missouri State,-29.5
Air Force,Duquesne,-28.5
Temple,Rhode Island,-9.5
Georgia,Tennessee State,-46.5
Oregon,Boise State,-24.5
Texas,Texas State,-29.5
Auburn,Baylor,-7.5
Penn State,Marshall,-24.5
Cincinnati,Boston College,-7.5
Duke,Tulane,-7.5
App State,Maine,-18.5
Tennessee,Furman,-46.5
Charlotte,The Citadel,-20.5
UTSA,UT Rio Grande Valley,-28.5
Navy,Towson,-30.5
North Dakota State,Fordham,-39.5
Tulsa,Oklahoma State,13.5
Iowa,Northern Illinois,-31.5
Arkansas,North Alabama,-40.5
Southern Miss,Alcorn,-21.5
Colorado State,Wyoming,-3.0
Old Dominion,Norfolk State,-41.5
Kansas State,Nicholls State,-40.5
Texas A&M,Missouri State,-40.5
Memphis,Arkansas State,-11.5
South Florida,FIU,-14.0
Utah State,Idaho State,-12.5
Texas Tech,Abilene Christian,-42.5
Troy,Sam Houston,-17.5
South Alabama,Southeastern Louisiana,-12.5
Vanderbilt,Austin Peay,-30.5
Rice,Houston Christian,-22.5
Middle Tennessee,Murray State,-20.5
Jacksonville State,Eastern Kentucky,-20.5
Georgia Southern,Charleston Southern,-25.5
LSU,Clemson,-10.0
Michigan,Western Michigan,-27.5
Mississippi State,ULM,-28.5
BYU,Utah Tech,-51.5
Virginia Tech,VMI,-56.5
Louisiana Tech,Northwestern State,-44.5
Florida,Florida Atlantic,-26.5
Northwestern,South Dakota State,-12.5
Louisiana,Lamar,-20.5
Maryland,Hampton,-45.5
New Mexico State,Mercyhurst,-28.5
Arizona State,Morgan State,-43.5
Arizona,Northern Arizona,-31.5
San Diego State,Portland State,-40.5
Hawai'i,UNLV,3.0
New Mexico,Central Michigan,-10.0
Sacramento State,Mississippi Valley,-37.5
California,UCLA,1.5
Nevada,Western Kentucky,2.5
Washington,Washington State,-23.5
Notre Dame,Wisconsin,-20.5
Ole Miss,Louisville,-7.0
