page,y,away_team,away_spread,home_team,home_spread,status
1,323.0,Oklahoma,-5.5,Michigan,5.5,ok
1,479.0,Washington State,19.5,Kansas State,-19.5,ok
1,634.0,Oregon,-22.5,Oklahoma State,22.5,ok
2,54.0,Arizona State,14.5,Texas A&M,-14.5,ok
2,209.0,Mississippi State,0.5,Minnesota,-0.5,ok
2,365.0,UCF,6.5,Pittsburgh,-6.5,ok
2,520.0,Arizona,7.5,BYU,-7.5,ok
2,675.0,Duke,5.5,Illinois,-5.5,ok
3,98.0,Alabama,-10.5,Kentucky,10.5,ok
3,254.0,Tennessee,-12.5,Georgia Tech,12.5,ok
3,409.0,Iowa State,13.5,Iowa,-13.5,ok
3,564.0,Ohio State,1.5,Texas,-1.5,ok
3,719.0,Arkansas,12.5,Utah,-12.5,ok
