home_team,away_team,spread
Rutgers,Massachusetts,-28.5
Wake Forest,Akron,-24.5
Georgia Tech,Colorado,-6.5
Illinois,UAB,-27.5
Eastern Michigan,San José State,-3.0
Michigan State,Toledo,-9.5
Oklahoma,UTEP,-41.5
Stanford,Miami,24.5
USC,Fresno State,-22.5
Alabama,East Carolina,-27.5
Houston,Oregon State,-20.5
Nebraska,Ohio,-23.5
West Virginia,Coastal Carolina,-20.5
James Madison,Liberty,-6.5
Indiana,North Texas,-40.5
Ohio State,Ball State,-50.5
Pittsburgh,Miami (OH),-16.5
South Carolina,Kent State,-35.5
Oregon,Boise State,-24.5
Texas,Texas State,-29.5
Auburn,Baylor,-7.5
Penn State,Marshall,-24.5
Cincinnati,Boston College,-7.5
Duke,Tulane,-7.5
Tulsa,Oklahoma State,13.5
Iowa,Northern Illinois,-31.5
Colorado State,Wyoming,-3.0
Texas A&M,Missouri State,-40.5
Memphis,Arkansas State,-11.5
Troy,Sam Houston,-17.5
LSU,Clemson,-10.0
Michigan,Western Michigan,-27.5
Florida,Florida Atlantic,-26.5
Hawai'i,UNLV,3.0
New Mexico,Central Michigan,-10.0
California,UCLA,1.5
Nevada,Western Kentucky,2.5
Washington,Washington State,-23.5
Notre Dame,Wisconsin,-20.5
Ole Miss,Louisville,-7.0
