rank,home_team,away_team,spread,pick_team,predicted_margin,edge,confidence,top_pick
1,Cincinnati,Boston College,-7.5,Boston College,5.6,-1.9,54.6,1
2,Eastern Michigan,San José State,-3,Eastern Michigan,4.9,1.9,54.6,1
3,Nevada,Western Kentucky,2.5,Nevada,-1.3,1.2,54.6,1
4,Hawai'i,UNLV,3,UNLV,-3.5,-0.5,54.6,1
5,Auburn,Baylor,-7.5,Baylor,7.3,-0.2,54.6,1
6,James Madison,Liberty,-6.5,James Madison,6.6,0.1,54.6,1
7,Memphis,Arkansas State,-11.5,Arkansas State,6.8,-4.7,51,1
8,New Mexico,Central Michigan,-10,Central Michigan,5.6,-4.4,51,1
9,Colorado State,Wyoming,-3,Colorado State,6.4,3.4,51,1
10,Ole Miss,Louisville,-7,Ole Miss,9.6,2.6,51,1
11,Notre Dame,Wisconsin,-20.5,Wisconsin,18,-2.5,51,1
12,Texas A&M,Missouri State,-40.5,Missouri State,17,-23.5,50.8,1
13,South Carolina,Kent State,-35.5,Kent State,12.4,-23.1,50.8,1
14,Tulsa,Oklahoma State,13.5,Tulsa,5.7,19.2,50.8,1
15,Iowa,Northern Illinois,-31.5,Northern Illinois,12.7,-18.8,50.8,1
16,Texas,Texas State,-29.5,Texas State,11.3,-18.2,50.8,1
17,Illinois,UAB,-27.5,UAB,9.7,-17.8,50.8,1
18,Alabama,East Carolina,-27.5,East Carolina,10.8,-16.7,50.8,1
19,Michigan,Western Michigan,-27.5,Western Michigan,11.4,-16.1,50.8,1
20,Nebraska,Ohio,-23.5,Ohio,7.5,-16,50.8,1
21,Wake Forest,Akron,-24.5,Akron,9,-15.5,50.8,1
22,West Virginia,Coastal Carolina,-20.5,Coastal Carolina,5.5,-15,50.8,1
23,Oregon,Boise State,-24.5,Boise State,17,-7.5,50.7,1
24,USC,Fresno State,-22.5,Fresno State,15.3,-7.2,50.7,1
25,Michigan State,Toledo,-9.5,Toledo,2.4,-7.1,50.7,1
26,California,UCLA,1.5,California,5,6.5,50.7,1
27,Duke,Tulane,-7.5,Tulane,1.3,-6.2,50.7,1
28,Georgia Tech,Colorado,-6.5,Georgia Tech,11.6,5.1,50.7,1
29,Stanford,Miami,24.5,Stanford,-9.7,14.8,49,1
30,Florida,Florida Atlantic,-26.5,Florida Atlantic,12.2,-14.3,49,1
31,Penn State,Marshall,-24.5,Marshall,10.4,-14.1,49,1
32,Washington,Washington State,-23.5,Washington State,9.6,-13.9,49,1
33,Rutgers,Massachusetts,-28.5,Massachusetts,14.9,-13.6,49,1
34,Pittsburgh,Miami (OH),-16.5,Miami (OH),5.1,-11.4,49,1
35,Houston,Oregon State,-20.5,Oregon State,9.7,-10.8,49,1
36,Troy,Sam Houston,-17.5,Sam Houston,7.5,-10,49,1
37,LSU,Clemson,-10,Clemson,1,-9,49,1
38,Indiana,North Texas,-40.5,North Texas,6.6,-33.9,16.7,1
39,Oklahoma,UTEP,-41.5,UTEP,14.7,-26.8,16.7,1
40,Ohio State,Ball State,-50.5,Ball State,25.2,-25.3,16.7,1
